/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/pyo4PkQ5xkk_000038_000048.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/TH4JDRyML3U_000039_000049.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/G0-fH1s400A_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/5IAocEG50J0_000046_000056.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/r1RMCO0PqDo_000002_000012.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/-K5GZPbS1j8_000080_000090.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/yJZDVUdTpkI_000124_000134.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/tAkTMocRHxo_000154_000164.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/VOIlSRncKnQ_000063_000073.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/bwjkLv4fHhc_000059_000069.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/wEAfJb0w2IY_000062_000072.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/1wHZONfxGCc_000276_000286.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/snES7B9mMEQ_000017_000027.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/ri87JJXOJfc_000042_000052.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/D2Ik8YQA6_o_000028_000038.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/X2i8PxOacrg_000008_000018.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/GY52-wzl53A_000096_000106.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/sm5Fqj-fpD8_000037_000047.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/s__x9Ultg68_001132_001142.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/NxqA3XkqcLY_000104_000114.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/qS0x8Atqf2k_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/OO-wtB61JRw_000032_000042.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/vIVOirf_0as_000583_000593.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/J2z5iZEa3iU_000429_000439.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/xFXlvuSrjH8_000159_000169.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/9b-pYos_-Hk_000020_000030.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/5sh7gKtf4lw_000022_000032.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/z1Ne3dyjHlI_000246_000256.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/b-Mlm0h-dzw_000205_000215.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/dxyF5tzq1iA_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/GG63-4gtL8A_000013_000023.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/ZlX4jipDrzM_000606_000616.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/pjZyJc5Lq4M_000088_000098.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/5utto7iOQjo_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Bm3KSk-Axi8_000022_000032.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/l_VFW7PmJA4_000028_000038.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/rrDumQYFYPw_000126_000136.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/ftfr4mK_P_8_000078_000088.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/VJt8XRxa7fE_000082_000092.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/3CxZUEYjf6E_000060_000070.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/hDiCB7Nxs0g_000619_000629.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/uHWKNjZhd0M_000287_000297.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/1fTPF6CpCbk_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Oqa2iY6BZWQ_000011_000021.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/1CbRr1htSrs_000098_000108.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/VMZh4sOvwZM_000006_000016.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/H16Ed4FDjhI_000054_000064.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/0tONjf-XsK8_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/6T6Ba9lxHtk_000007_000017.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/V7ObIJBAVjI_000001_000011.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Aktu2fWD9yU_000022_000032.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/trBkp0NKQvM_000242_000252.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/6im4Vb9HlXM_000072_000082.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Aio0AuiaL0A_000011_000021.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/YkszM5Gt5o0_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Iq-h8sXxAfg_000485_000495.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/XB-ShelISMs_000083_000093.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/WjpVd6M0-ZU_000028_000038.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/Fbfv362s1V4_000518_000528.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/nqhLs8MXwqQ_000011_000021.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/0Ha6g3WKW-s_000037_000047.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/P6_0XnDq6H8_000133_000143.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/yPCbO1BqSJs_000106_000116.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/e00RAD-W_hM_000061_000071.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/dMzycn1d3qU_000001_000011.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/OzFrHFvb5J8_000002_000012.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/8EgR6eXHquI_000045_000055.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/pAnQGxhdyUo_000003_000013.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/VXA-5QePFPo_000106_000116.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/7Wol9YtBqrc_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/ZQZTjILgAWg_000031_000041.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/tB0I9pKV39w_000119_000129.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/dKF5fB58VZo_000011_000021.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/xOC58NbdiTk_000017_000027.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/xHiG8_LSd3o_000000_000010.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/oATuMf9tV3g_000007_000017.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/VeRwnozzupE_000091_000101.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/o-kQS6_JQ-s_000029_000039.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/zRcOsoru7BQ_000048_000058.mp4, yarn spinning
/home/alec/Documents/SmallDatasets/KineticsSmall/yarn spinning/c87u2BKWxxg_000175_000185.mp4, yarn spinning
